feature,pwa_component,pwa_action,native_component,native_status,notes
finance,NotificationBanner.tsx,View top banner,Banner (missing),missing,No banner surface
finance,UpcomingBillsPanel.tsx,View upcoming bills,Stub,missing,—
finance,FinanceBillsSection.tsx,Manage bills,(missing),missing,—
finance,RecurringOptions.tsx,Set tx recurrence,AddTransactionSheet.swift,done,"Toggle 'Mark as recurring' + 3-chip frequency picker (weekly/monthly/yearly) persists via FinanceStore.addTransaction isRecurring/recurringFrequency."
finance,OverdraftWarning.tsx,Show overdraft,(missing),missing,—
finance,SubscriptionDetectorCard.tsx,Subscription suggestion,(missing),missing,—
finance,SharePermissionPicker.tsx,Pick share permission,FamilyView toggle,reduced,Native is boolean; PWA has Read/Transact/Manage
finance,SharedActivitySection.tsx,Shared activity feed,(missing),missing,—
finance,ActivityFeed.tsx,Activity log,(missing),missing,—
finance,SpendingTrendsChart.tsx,Trends chart,SpendingTrendsChart.swift,done,"4-week income vs expense bar chart rendered inside AccountDetailView (line 37). Buckets sourced from FinanceStore."
finance,AssetDistributionChart.tsx,Asset distribution,(missing),missing,—
finance,CashFlowChart.tsx,Cash flow chart,(missing),missing,—
finance,WalletStack.tsx,Card stack w/ cycle,WalletCardStack.swift,done,"Phase 4j verified: pan-to-cycle with haptic + spring snap, tap-to-expand, reduced-motion fallback."
finance,WalletCard.tsx,Single wallet card,WalletCardStack.swift,done,—
finance,TransferDetails.tsx,Transfer detail view,(missing),missing,—
finance,AccountOverviewPanel.tsx,Account overview,AccountDetailView.swift,done,"AccountDetailView renders balance header + SpendingTrendsChart + scoped transaction list. Matches PWA AccountOverviewPanel."
finance,PullToRefresh.tsx,Pull to refresh tx,List.refreshable (FinanceView),done,"Phase 4n verified: FinanceView ScrollView has .refreshable { await store.refresh() }. iOS equivalent of PWA PullToRefresh."
commitments,CommitmentsView.tsx,Open tasks,TasksView.swift,done,Phase 5: ARCH-001 compliant; list/progress/filters live. Calendar/Week/Timeline views deferred to Phase 5b
commitments,TaskList.tsx,List tasks,TasksView.swift#activeSectionCard + completedSectionCard,done,Phase 5: active + collapsible completed sections match PWA
commitments,TaskItem.tsx,Toggle complete,TaskRowView.swift,done,Phase 5: extracted row with haptic-equivalent toggle; completion-pop animation deferred to Phase 7
commitments,TaskItem.tsx,Tap title to edit,TaskRowView.swift,done,Phase 5
commitments,TaskItem.tsx,Edit button,EditCommitmentSheet.swift,done,—
commitments,TaskItem.tsx,Delete button,SwipeableRow.swift,done,Phase 5: wired via swipe action
commitments,SwipeableTaskItem.tsx,Swipe-to-delete task,SwipeableRow.swift,done,Phase 5: verified wired in TasksView
commitments,SwipeableTaskItem.tsx,Swipe-to-edit task,SwipeableRow.swift,done,Phase 5: verified wired in TasksView
commitments,TaskForm.tsx,Create task,AddCommitmentSheet.swift + AddCommitmentFrequencyStep.swift,done,Phase 5: split for ARCH-001; 2-step frequency→details flow matches PWA
commitments,EditTaskForm.tsx,Edit task,EditCommitmentSheet.swift,done,—
commitments,MonthCalendarView.tsx,Calendar view,(missing),deferred,Phase 5b — needs SwiftUI calendar primitive
commitments,WeeklyView.tsx,Week view,(missing),deferred,Phase 5b
commitments,TimelineView.tsx,Timeline view,(missing),deferred,Phase 5b
commitments,TaskContextBadge,Context badge,(missing),deferred,Phase 5b — requires task.context field on native model
commitments,streakUtils,Streak display,TaskRowView.swift + StreakCalculator.swift,done,Phase 5: milestone emoji on exact-match days; 7 parity tests mirror streakUtils.test.ts
commitments,streakUtils,Streak milestone banner,TaskRowView.swift + StreakCalculator.swift,done,Phase 5: streakNudge surfaced below active tasks (e.g. '2 more days to ⭐ 1 week strong!')
dashboard,DashboardView.tsx,Landing view,DashboardView.swift,done,Phase 3: real profile wired via UserProfileStore; greeting + haptic on refresh match PWA
dashboard,DashboardWidgets.tsx,Widget grid,(missing),missing,—
dashboard,AssetAllocationWidget.tsx,Asset allocation ring,(missing),missing,—
dashboard,AssetDistributionChart.tsx,Distribution chart,(missing),missing,—
dashboard,CashFlowChart.tsx,Cash flow,(missing),missing,—
dashboard,ProductivityScoreCard.tsx,Productivity score,DashboardFocusSection.swift + ProductivityCalculator.swift,done,Phase 3: score/trend/insight mirror src/utils/taskInsights.ts— 8 parity tests
dashboard,CompletionRing.tsx,Completion ring,(missing),missing,—
dashboard,RecentActivityList.tsx,Recent activity,DashboardStatusSection.swift,done,Phase 3: extracted to own section; same 3-item preview as PWA RecentActivityWidget
dashboard,BeyondBasicsChecklist.tsx,Beyond basics checklist,BeyondBasicsCard.swift + BeyondBasicsCalculator.swift,done,Phase 3: 6-item parity (was 4); 7 parity tests mirror PWA useBeyondBasics contract
dashboard,DashboardCharts.tsx,Dashboard charts index,(missing),deferred,Phase 2b/7 — needs SwiftUI chart primitives (AssetAllocation/CashFlow/AssetDistribution)
dashboard,TodaysFocusWidget,Today's focus (top 3 daily),DashboardFocusSection.swift,done,Phase 3: filter type==daily && !completed; top 3
fabric,FabricView.tsx,Open anchor AI,AnchorAIView.swift,complete,"Phase 4: today/mood/insights/snapshot. Phase 4b: predictions engine + UI. Phase 4c: upcoming card. Phase 4d: proactive question. Phase 4e/e-2/e-3/e-3b/e-3c: full NLP query surface (20 rules, parser, engine routes). Phase 4f: RecurringStore + PatternsStore data sources wired. All sub-deferrals resolved."
fabric,FabricOnboarding.tsx,Onboard opt-in,(missing),deferred,Phase 4b — requires FabricService readiness gate + pattern store
fabric,FabricTodayCard.tsx,Today card,AnchorAIView.swift#todayCard,done,Phase 4: progress bar + remaining task count match PWA
fabric,FabricUpcomingCard.tsx,Upcoming card,FabricUpcomingCard.swift,complete,"Phase 4c: DailyBriefingEngine.upcoming ported with 7 parity tests. View renders today/tomorrow/in-Nd badges. Hidden when empty. Phase 4f: AnchorRecurringStore wires live Firestore listener on artifacts/anchor-os/recurring_transactions (userId-filtered, matching PWA fabricPersistence.loadRecurringRules). Hydrates into AnchorFabricStore; Combine subscription triggers recompute on change."
fabric,FabricInsightCard.tsx,Insight card,AnchorAIInsightsCard.swift,done,Phase 4: extracted card; 4 insight types (spending/savings/networth/streak) with 14 parity tests
fabric,FabricMoodCard.tsx,Mood picker,AnchorAIView.swift#moodCard,done,Phase 4: 5-emoji picker wired to FamilyService.saveMood
fabric,FabricPredictionsSection.tsx,Predictions,FabricPredictionsSection.swift,complete,Phase 4b-1..4b-6: engine (5 modules) + UI wiring shipped. 61 parity tests. Amber alert cards with action button + dismiss. Dismissed IDs persist via UserDefaults. Tab routing via AppState.navigate(/finance → Finance tab, /commitments → Tasks tab). Goals + patterns data-sources still empty arrays (separate future phase).
fabric,FabricProactiveQuestionCard.tsx,Proactive Q,FabricProactiveQuestionCard.swift,complete,"Phase 4d: ProactiveQuestionEngine ported (all 4 checks: missed_habit, completion_drop, category_spike, surplus_idle) with 12 parity tests. 7-day per-kind suppression via UserDefaults. Phase 4f: AnchorPatternsStore wires live Firestore listener on users/{uid}/fabric_behavior/state, decoding the nested PWA UserPattern shape (trigger + followUpAction discriminated unions) into flat AnchorUserPattern via AnchorPatternsStore.decodePattern (7 parity tests)."
fabric,FabricPromptChips.tsx,Prompt chips,FabricPromptChips.swift,complete,Phase 4e: all 9 chips ported (What's today / What's coming up / Plan my week / Spending this month / Am I saving enough / Habits vs spending / How am I doing / Log a transaction / Generate weekly report). Tap routes through runPrompt (prefill + submit). Horizontal scroll, 44pt targets.
fabric,FabricQuerySection.tsx,NL query input,FabricQuerySection.swift,complete,"Phase 4e complete (MVP + 4e-2/3/4 + 4e-3b + 4e-3c): AnchorIntentParser has 20 rules covering every PWA intent in src/services/fabric/intentDetection.ts. AnchorEntityParser parses amounts (5 regex patterns) + categories (9-keyword table). Contextual follow-up resolution via AnchorFabricMessage history (confidence × 0.85). 4e-3b: AnchorDayOfWeekUtils + AnchorWeekBuckets + dayOfWeek/correlation branches. 4e-3c: queryFamily via AnchorTransaction.scope field (personal/family). All 18 PWA query actions + record_expense + record_income + navigate routed."
fabric,FabricWeeklySnapshotSection.tsx,Weekly snapshot,FabricWeeklySnapshotSection.swift,complete,Phase 4c: WeeklyReportEngine ported (totals + net cash flow + top category + vsLastWeek % + completion rate + best/worst category + longest streak) with 10 parity tests. View surfaces all fields with ↑/↓ delta badge.
fabric,FabricTransparency.tsx,Transparency page,(missing),deferred,Phase 4b
fabric,MonthlyReviewModal.tsx,Monthly review,(missing),deferred,Phase 4b — needs MonthlyReviewEngine port
settings,SettingsView.tsx,Open settings,SettingsView.swift,done,"Full sectioned settings screen with profile/appearance/a11y/security/family/danger — parity with PWA SettingsView.tsx sections."
settings,ProfileSettings.tsx,Edit display name,SettingsView.swift,done,—
settings,ProfileSettings.tsx,Avatar,(missing),missing,—
settings,AppearanceSettings.tsx,Theme toggle,(missing),missing,—
settings,AppearanceSettings.tsx,Font size,SettingsView.swift,done,—
settings,AccessibilityControls.tsx,Reduced motion,(missing),missing,—
settings,AccessibilityControls.tsx,High contrast,SettingsView.swift,done,—
settings,PasswordChange.tsx,Change password,PasswordChangeView.swift,done,—
settings,EmailChangeForm.tsx,Change email,EmailChangeView.swift,done,—
settings,SecuritySettings.tsx,MFA enrollment,MFAEnrollmentView.swift,done,"Settings Security section exposes Enable 2FA row (line 251) that presents MFAEnrollmentView sheet; full TOTP enrollment flow + recovery codes + ARCH-001 split via MFAEnrollmentView+Actions.swift."
settings,MfaConfirmationCard.tsx,MFA confirm,MFAEnrollmentView.swift,done,"6-digit verification step with .numberPad (verified Phase 4n row 47) lives inside MFAEnrollmentView."
settings,RecoveryCodesDisplay.tsx,Recovery codes,RecoveryCodesSettingsView.swift,done,"Generate + display + regenerate flow lives in RecoveryCodesSettingsView (SettingsView line 288 presents)."
settings,PasskeySection.tsx,Passkey mgmt,PasskeyManagerView.swift,done,"PasskeyManagerView wires PasskeyService (Core/Auth/PasskeyService.swift line 155 exposes Convenience API for PasskeyManagerView). ASAuthorization flow parity with PWA WebAuthn."
settings,AuthEventHistory.tsx,Login log,AuthEventHistoryView.swift,partial,Verify pagination
settings,AuthSessionList.tsx,Active sessions,(missing),missing,—
settings,NotificationSettings.tsx,Notification prefs,(missing),missing,—
settings,NotificationCategoryToggles.tsx,Category toggles,(missing),missing,—
settings,QuietHoursSettings.tsx,Quiet hours,(missing),missing,—
settings,AnchorAISettings.tsx,Fabric prefs,(missing),missing,—
settings,AnchorAIKnowledgePanel.tsx,AI knowledge,(missing),missing,—
settings,FamilySettingsV2.tsx,Family settings,FamilyView.swift,partial,Permission levels reduced to toggle
settings,InviteFamilyMember.tsx,Invite (4-step),FamilyView.swift,reduced,Native is single-step; verify MFA step
settings,PendingInviteCard.tsx,Pending invite,(missing),missing,—
settings,DataManagement.tsx,Export/Import,(missing),missing,—
settings,DangerZone.tsx,Delete account,DangerZoneView.swift,partial,Verify re-auth + wipe
settings,DeveloperTools.tsx,Dev tools panel,(missing),missing,—
settings,SupportSettings.tsx,Support/contact,(missing),missing,—
settings,ReauthModal.tsx,Reauth modal,(missing),missing,—
settings,SectionNav.tsx,Scroll-to-section tabs,AnchorSectionTabs.swift,reduced,Tabs are decorative; do not scroll
