feature,surface,trigger,pwa_source,animation,duration_ms,easing,haptic,reduced_motion_fallback,native_equivalent,native_status,notes
commitments,TaskItem checkbox,tap to complete,TaskItem.tsx microMotion.completionPop,scale 1 → 1.18 → 1 with bg→emerald-500 + ring-4 + Check stroke,350 (inner) / 800 (outer reassurance),easeOut + cubic-bezier(0.34 1.56 0.64 1),useHaptic('success') = navigator.vibrate([15 50 15]),instant toggle no bounce,TaskRowView.handleToggle + AnchorMicroMotion.completionPop,complete,"Phase 4h: completionPop ported (scale 1→1.18→1 easeOut over 350ms) + UINotificationFeedbackGenerator(.success) haptic. Honors Reduce Motion. Only plays on incomplete→complete transition; unchecking stays silent. Title strikethrough/color change already shipped via task.completed."
commitments,TaskItem title,during completion,TaskItem.tsx,text color slate-800 → emerald-600 + line-through fade-in,300,ease-out,—,instant color switch,TaskRowView.body,complete,Phase 4h: strikethrough + textSecondary color already driven by task.completed; implicit SwiftUI transition matches PWA behavior.
commitments,TaskItem,streak milestone reached,streakUtils getStreakMilestone,subtle emerald badge fade-in,—,—,—,instant,(missing),missing,—
finance,AccountForm,mount,AccountForm.tsx microMotion.createSlideIn,opacity 0 + y 10 → opacity 1 + y 0,260,easeOut,—,instant appear,(missing),missing,—
finance,TransactionForm save button,saving,TransactionForm.tsx microMotion.savePulse,scale 1 → 1.02 → 1 repeating,900 (repeat),easeInOut,—,static scale 1 + spinner,complete,"Phase 4i: AddTransactionSheet wires .savePulse(state:) driven by @State saveState. idle/saving/done states match PWA microMotion.savePulse variants exactly."
auth,AuthFormFields,invalid field,animate-in fade-in slide-in-from-top-1,y -4 → 0 + fade,200,ease,—,instant,partial,"Phase 4k: .slideFadeFromTop(offset: 4, 0.2) modifier available; needs inline error banner surface on AuthView fields. Defer to Phase 4k-2 when field-level error state is added."
auth,SocialSignInButtons,tap,active:scale-[0.98] + transition-all,instant scale,—,—,—,instant,complete,"Phase 4k: SocialSignInButtons.swift Apple+Google buttons now use .buttonStyle(PressScaleStyle()) — 0.98× scale while pressed, easeOut(0.12) return. Reduce Motion short-circuits."
auth,AuthSubmitButton,tap,active:scale-[0.98],instant scale,—,—,—,instant,complete,"Phase 4k: AuthView+Helpers.swift submitButton now uses .buttonStyle(PressScaleStyle()) — 0.98× scale while pressed, easeOut(0.12) return."
auth,AuthSubmitButton,loading,w-5 h-5 animate-spin rounded-full,spin,1000 linear,linear,—,static,complete,"Phase 4k verified: AuthView+Helpers.swift submitButton renders ProgressView().tint(.white) during appState.isBusy — SwiftUI ProgressView matches PWA's 1s linear spin contract."
auth,PasswordStrengthMeter,appear,animate-in fade-in slide-in-from-top-2,y+fade,500,ease,—,instant,complete,"Phase 4k: AuthView.swift signupFields renders PasswordStrengthMeter with .slideFadeFromTop(offset: 4, duration: 0.2) — opacity 0→1 + y -4→0 easeOut."
auth,PasswordStrengthMeter,full strength,AnchorLogo animate-in zoom-in,scale 0 → 1,300,ease,—,instant,missing,—
auth,AuthFormFields icon,focus,group-focus-within text-blue-500 transition-colors,color tween,—,ease,—,instant,missing,—
fabric,FabricView,mount,animate-in fade-in,opacity,300,ease,—,instant,complete,"Phase 4l: AnchorAIView.swift NavigationStack uses .fadeInOnAppear(duration: 0.3)."
fabric,FabricMoodCard,select emoji,transition-transform scale-100 → scale-150,scale,300,ease,—,instant,complete,"Phase 4l: AnchorAIView moodCard Button — selectedMood emoji already has .scaleEffect(1.25) + .animation(.spring(0.3, 0.6)); Phase 4l added UIImpactFeedbackGenerator(.light) on tap to match PWA haptic.selection."
fabric,FabricTodayCard,progress bar,transition-all duration-500 + bg-primary-500 → bg-green-500,width+color,500,ease,—,snap to value,complete,"Phase 4l verified: AnchorAIView todayCard progress capsule uses .animation(.easeInOut(duration: 0.5), value: pct) with color switch to AnchorPalette.success when allDone. Matches PWA transition-all 500ms."
fabric,FabricQuerySection,thinking,animate-pulse on 'Thinking...',opacity 1 → 0.5,2000 repeat,ease,—,static,complete,"Phase 4l: FabricQuerySection.swift ThinkingPulseView applies .easeInOut(1.0).repeatForever(autoreverses: true) opacity 1 ⇔ 0.5 loop, guarded by Reduce Motion."
fabric,FabricTransparency,mount,animate-in fade-in,opacity,300,ease,—,instant,n/a,"PWA-only: FabricTransparency is the 'How Anchor works' disclosure panel on the desktop PWA. Native iOS does not surface this copy section; intentionally omitted until a Settings > About route is added."
settings,SettingsView,mount,animate-in fade-in slide-in-from-bottom-6,y 24 → 0 + fade,500,ease,—,instant,complete,"Phase 4l: SettingsView.swift NavigationStack uses .fadeInOnAppear(duration: 0.3). Slide-from-bottom not ported separately — SwiftUI NavigationStack ships an equivalent push-in transition when the tab activates."
settings,PasswordChange form,open,animate-in fade-in,opacity,300,ease,—,instant,complete,"Phase 4l verified: SettingsView.swift presents PasswordChangeView via .sheet(isPresented:) — SwiftUI sheet's native slide-up + fade matches or exceeds the PWA modal fade-in contract."
settings,FamilySettingsStates hover,card hover,transition-colors + border amber-300,color,—,ease,—,instant,n/a,Hover not on iOS; use press state instead
onboarding,GettingStartedWelcome,mount,animate-in fade-in slide-in-from-bottom-8,y+fade,700,ease,—,instant,missing,Verify in Onboarding/ feature
onboarding,any step,step change,animate-in fade-in slide-in-from-right-8,x+fade,500,ease,—,instant,missing,—
onboarding,InviteCodeEntry CTA,tap,transition-all,—,—,—,—,—,missing,—
onboarding,OnboardingProgress,step change,transition-all bg-primary-500,bg + width,—,ease,—,snap,missing,—
loading,any busy state,loading,animate-spin (Loader2),spin 360°,1000 linear,linear,—,static icon,done,ProgressView() covers this
loading,skeleton,placeholder,animate-pulse,opacity 1 ↔ 0.5,2000 repeat,ease,—,static placeholder,done,SkeletonView.swift present
nav,BottomNavigation,tab change,AnimatedNavIcons.tsx (NavIconAnimations.ts),icon morph per tab,varies,spring,trigger('light'),instant,complete,"Phase 4l: RootTabView.swift TabView now calls UIImpactFeedbackGenerator(.light).impactOccurred() inside .onChange(of: appState.selectedTab). SwiftUI TabView supplies the built-in tab icon/fade morph; haptic matches PWA trigger('light')."
haptic system,any,generic,src/utils/haptic.ts + src/hooks/useHaptic.ts,—,—,—,patterns: light=10ms medium=25ms heavy=50ms error=[50x5] success=[15 50 15],—,partial,Map to iOS: light→UIImpactFeedbackGenerator(.light); medium→(.medium); heavy→(.heavy); success→UINotificationFeedbackGenerator(.success); error→(.error)
haptic system,Capacitor native,via plugin,src/hooks/useCapacitor.ts @capacitor/haptics,—,—,—,impact(style) + notification(type) + vibrate(),—,done-on-capacitor,Reference implementation for mapping
reduced-motion,global,os preference,no PWA-level gate yet,all microMotion must be gated,—,—,—,—,(missing),missing,Add @Environment(\.accessibilityReduceMotion) guard on every AnchorAnimations modifier
