feature,surface,interaction_type,pwa_source,native_equivalent,native_status,notes
commitments,SwipeableTaskItem,swipe delete,SwipeableTaskItem.tsx,SwipeableRow.swift,done,"Verified wired in TasksView (two SwipeableRow usages)."
commitments,SwipeableTaskItem,swipe edit,SwipeableTaskItem.tsx,SwipeableRow.swift,done,"Verified wired in TasksView."
commitments,calendar,swipe month,MonthCalendarView.tsx,(missing),missing,Whole calendar view not ported
commitments,timeline,horizontal scroll,TimelineView.tsx,(missing),missing,—
finance,WalletStack,pan to cycle cards,CardStack.tsx + useCardCycle.ts (framer drag y),WalletCardStack.swift gesture,done,"Phase 4j verified: dragGesture onEnded fires UIImpactFeedbackGenerator(.light) at ±60pt threshold before index change; spring(0.4, 0.8) snap-back."
finance,WalletStack,tap card to expand,useFinanceCardInteraction.ts haptic.selection,WalletCardStack.swift tap,done,"Phase 4j: .onTapGesture on background wallet cards fires light impact + brings tapped card to top with spring(0.4, 0.8)."
finance,TransactionForm,amount keypad,inputmode='decimal',.keyboardType(.decimalPad),done,"Verified: all amount fields across AddTransactionSheet, EditTransactionSheet, AddAccountSheet, EditAccountSheet, and OnboardingView+Steps use .decimalPad."
finance,TransactionForm,return-key chains fields,form default,.submitLabel + focus bindings,done,"Phase 4n: AddTransactionSheet wires @FocusState<FocusedField?> with .title / .amount cases; title field uses .submitLabel(.next) + .onSubmit { focusedField = .amount }, amount field uses .submitLabel(.go) + .onSubmit { submit() }."
finance,TransactionForm,keyboard done bar,absent PWA,toolbar keyboard Done,n/a,Native-only UX enhancement (acceptable)
finance,TransactionForm,dismiss keyboard on scroll,body,.scrollDismissesKeyboard(.immediately),done,"Phase 4n: AddTransactionSheet and EditTransactionSheet both apply .scrollDismissesKeyboard(.interactively)."
finance,SwipeableTransactionItem,swipe delete,SwipeableRow,SwipeableRow.swift,done,"Verified wired in FinanceView transaction list."
finance,SwipeableTransactionItem,swipe edit,SwipeableRow,SwipeableRow.swift,done,"Verified wired in FinanceView."
finance,VirtualTransactionList,infinite scroll threshold,IntersectionObserver + load-more,List.onAppear paging,missing,—
finance,FinanceSearchSheet,open via search icon,FinanceSearchSheet.tsx,(missing),missing,—
finance,AccountForm,currency picker,select+searchable,Picker,partial,Verify 10-currency parity + search
finance,AccountForm,card color picker,(Tailwind palette),CardColorPicker.swift,done,Verify haptic on selection
dashboard,DashboardView,quick-action tap,useHaptic('light'),DashboardView.swift,done,"Phase 4n: BeyondBasicsCard dismiss fires AnchorHaptic.light.fire() matching PWA useHaptic('light')."
dashboard,DashboardView,ring tap navigates,BeyondBasicsChecklist,BeyondBasicsCard.swift,partial,Verify tap target size (44pt) and nav target
fabric,FabricQuerySection,send-on-enter,Enter key,.submitLabel(.send) on TextField,missing,Feature not built
fabric,FabricPromptChips,chip tap auto-send,PromptChips.tsx,(missing),missing,—
fabric,FabricMoodCard,mood emoji tap,button+scale-150 transition,AnchorAIView.moodCard,done,"Phase 4l: moodCard Button fires UIImpactFeedbackGenerator(.light) then animates .scaleEffect(1.25) via .spring(0.3, 0.6)."
settings,SectionNav,tab tap scrolls to section,SectionNav.tsx (scrollIntoView),AnchorSectionTabs.swift ScrollViewReader,missing,Currently decorative in native
settings,PasswordChange,show/hide password,eye toggle,.textFieldStyle + @State,done,"Phase 4n: PasswordChangeView.secureField() added @State showPasswords toggle; eye button swaps SecureField ⇄ TextField across all three password fields with a 44pt touch target and proper accessibilityLabel."
settings,ReauthModal,biometric prompt,WebAuthn,LAContext(.deviceOwnerAuthenticationWithBiometrics),missing,—
settings,DangerZone,long-press confirm,confirm double-click,.alert,partial,Verify destructive role + re-auth gate
a11y,any view,VoiceOver labels,aria-label,.accessibilityLabel,partial,Sweep required on Sprint outputs
a11y,any view,Dynamic Type,rem-based,.dynamicTypeSize,partial,Verify with xxxLarge
a11y,any view,Reduced Motion,prefers-reduced-motion CSS,@Environment(\.accessibilityReduceMotion),done,"Phases 4g-4m: every modifier in AnchorMicroMotion + AnchorPressStyles reads @Environment(\.accessibilityReduceMotion) and short-circuits scale/opacity animations when Reduce Motion is on."
a11y,any view,Voice Control labels,aria-label,.accessibilityInputLabels,missing,—
a11y,any view,contrast >= 4.5:1,tailwind slate palette,AnchorPalette,verify,Check dark mode token contrast
keyboard,any input,autofocus first field,autofocus,.focused on appear,partial,Verify in sheets
keyboard,code entry,numeric only,inputmode='numeric',.keyboardType(.numberPad),done,"Verified: AuthView MFA code, MFAEnrollmentView, and FamilyView invite code all use .numberPad."
keyboard,amount,decimal,inputmode='decimal',.keyboardType(.decimalPad),done,"Verified across all 5 amount-entry surfaces."
nav,deep link,anchor://finance/account/:id,React Router,Universal Links + NavigationPath,missing,—
nav,universal link,https://anchor-os.web.app/*,browser,AASA file,missing,—
nav,back gesture,edge-swipe,browser,NavigationStack default,done,—
